boss,region,tier,chunks
Giant mole,Asgarnia,early-game,"chunk_9_27, chunk_9_28, chunk_9_29, chunk_9_30, chunk_9_31, chunk_10_27, chunk_10_28, chunk_10_29, chunk_10_30, chunk_10_31, chunk_11_28, chunk_11_29, chunk_11_30, chunk_11_31, chunk_12_28, chunk_12_29, chunk_12_30, chunk_12_31, chunk_13_28, chunk_13_29, chunk_13_30, chunk_13_31, chunk_14_28, chunk_14_30, chunk_14_31, chunk_15_30, chunk_15_31, chunk_16_30"
Royal titans,Asgarnia,early-game,"chunk_9_27, chunk_9_28, chunk_9_29, chunk_9_30, chunk_9_31, chunk_10_27, chunk_10_28, chunk_10_29, chunk_10_30, chunk_10_31, chunk_11_28, chunk_11_29, chunk_11_30, chunk_11_31, chunk_12_28, chunk_12_29, chunk_12_30, chunk_12_31, chunk_13_28, chunk_13_29, chunk_13_30, chunk_13_31, chunk_14_28, chunk_14_30, chunk_14_31, chunk_15_30, chunk_15_31, chunk_16_30"
Commander zilyana,Asgarnia,late-game,"chunk_9_27, chunk_9_28, chunk_9_29, chunk_9_30, chunk_9_31, chunk_10_27, chunk_10_28, chunk_10_29, chunk_10_30, chunk_10_31, chunk_11_28, chunk_11_29, chunk_11_30, chunk_11_31, chunk_12_28, chunk_12_29, chunk_12_30, chunk_12_31, chunk_13_28, chunk_13_29, chunk_13_30, chunk_13_31, chunk_14_28, chunk_14_30, chunk_14_31, chunk_15_30, chunk_15_31, chunk_16_31"
General graardor,Asgarnia,late-game,"chunk_9_27, chunk_9_28, chunk_9_29, chunk_9_30, chunk_9_31, chunk_10_27, chunk_10_28, chunk_10_29, chunk_10_30, chunk_10_31, chunk_11_28, chunk_11_29, chunk_11_30, chunk_11_31, chunk_12_28, chunk_12_29, chunk_12_30, chunk_12_31, chunk_13_28, chunk_13_29, chunk_13_30, chunk_13_31, chunk_14_28, chunk_14_30, chunk_14_31, chunk_15_30, chunk_15_31, chunk_16_32"
K'ril tsutsaroth,Asgarnia,late-game,"chunk_9_27, chunk_9_28, chunk_9_29, chunk_9_30, chunk_9_31, chunk_10_27, chunk_10_28, chunk_10_29, chunk_10_30, chunk_10_31, chunk_11_28, chunk_11_29, chunk_11_30, chunk_11_31, chunk_12_28, chunk_12_29, chunk_12_30, chunk_12_31, chunk_13_28, chunk_13_29, chunk_13_30, chunk_13_31, chunk_14_28, chunk_14_30, chunk_14_31, chunk_15_30, chunk_15_31, chunk_16_33"
Kree'arra,Asgarnia,late-game,"chunk_9_27, chunk_9_28, chunk_9_29, chunk_9_30, chunk_9_31, chunk_10_27, chunk_10_28, chunk_10_29, chunk_10_30, chunk_10_31, chunk_11_28, chunk_11_29, chunk_11_30, chunk_11_31, chunk_12_28, chunk_12_29, chunk_12_30, chunk_12_31, chunk_13_28, chunk_13_29, chunk_13_30, chunk_13_31, chunk_14_28, chunk_14_30, chunk_14_31, chunk_15_30, chunk_15_31, chunk_16_34"
Whisperer,Asgarnia,late-game,"chunk_9_27, chunk_9_28, chunk_9_29, chunk_9_30, chunk_9_31, chunk_10_27, chunk_10_28, chunk_10_29, chunk_10_30, chunk_10_31, chunk_11_28, chunk_11_29, chunk_11_30, chunk_11_31, chunk_12_28, chunk_12_29, chunk_12_30, chunk_12_31, chunk_13_28, chunk_13_29, chunk_13_30, chunk_13_31, chunk_14_28, chunk_14_30, chunk_14_31, chunk_15_30, chunk_15_31, chunk_16_35"
Tempoross,Desert,introductory,"chunk_13_34, chunk_13_35, chunk_13_36, chunk_13_37, chunk_14_34, chunk_14_35, chunk_14_36, chunk_14_37, chunk_15_34, chunk_15_35, chunk_15_36, chunk_15_37, chunk_15_38, chunk_16_34, chunk_16_35, chunk_16_36, chunk_16_37, chunk_16_38, chunk_17_33, chunk_17_34, chunk_17_35, chunk_17_36, chunk_17_37, chunk_17_38, chunk_18_33, chunk_18_34, chunk_18_35, chunk_18_36, chunk_18_37, chunk_18_38, chunk_18_39, chunk_19_33, chunk_19_34, chunk_19_35, chunk_19_36, chunk_19_37, chunk_19_38, chunk_20_31, chunk_20_32, chunk_20_33, chunk_20_34, chunk_20_35, chunk_20_36, chunk_20_37, chunk_21_33, chunk_21_34, chunk_21_35, chunk_21_36, chunk_21_37, chunk_22_33, chunk_22_34, chunk_22_35, chunk_22_36, chunk_22_37, chunk_23_33, chunk_23_34, chunk_23_36, chunk_23_37"
Kalphite queen,Desert,mid-game,"chunk_13_34, chunk_13_35, chunk_13_36, chunk_13_37, chunk_14_34, chunk_14_35, chunk_14_36, chunk_14_37, chunk_15_34, chunk_15_35, chunk_15_36, chunk_15_37, chunk_15_38, chunk_16_34, chunk_16_35, chunk_16_36, chunk_16_37, chunk_16_38, chunk_17_33, chunk_17_34, chunk_17_35, chunk_17_36, chunk_17_37, chunk_17_38, chunk_18_33, chunk_18_34, chunk_18_35, chunk_18_36, chunk_18_37, chunk_18_38, chunk_18_39, chunk_19_33, chunk_19_34, chunk_19_35, chunk_19_36, chunk_19_37, chunk_19_38, chunk_20_31, chunk_20_32, chunk_20_33, chunk_20_34, chunk_20_35, chunk_20_36, chunk_20_37, chunk_21_33, chunk_21_34, chunk_21_35, chunk_21_36, chunk_21_37, chunk_22_33, chunk_22_34, chunk_22_35, chunk_22_36, chunk_22_37, chunk_23_33, chunk_23_34, chunk_23_36, chunk_23_38"
Tumeken's warden,Desert,late-game,"chunk_13_34, chunk_13_35, chunk_13_36, chunk_13_37, chunk_14_34, chunk_14_35, chunk_14_36, chunk_14_37, chunk_15_34, chunk_15_35, chunk_15_36, chunk_15_37, chunk_15_38, chunk_16_34, chunk_16_35, chunk_16_36, chunk_16_37, chunk_16_38, chunk_17_33, chunk_17_34, chunk_17_35, chunk_17_36, chunk_17_37, chunk_17_38, chunk_18_33, chunk_18_34, chunk_18_35, chunk_18_36, chunk_18_37, chunk_18_38, chunk_18_39, chunk_19_33, chunk_19_34, chunk_19_35, chunk_19_36, chunk_19_37, chunk_19_38, chunk_20_31, chunk_20_32, chunk_20_33, chunk_20_34, chunk_20_35, chunk_20_36, chunk_20_37, chunk_21_33, chunk_21_34, chunk_21_35, chunk_21_36, chunk_21_37, chunk_22_33, chunk_22_34, chunk_22_35, chunk_22_36, chunk_22_37, chunk_23_33, chunk_23_34, chunk_23_36, chunk_23_39"
