Monster;Reference_to_boss_images;Tier;Type;HasSlayerRequirement;RequiresGroup;Combat_achievement_name;Description
Aberrant Spectre;Aberrant_spectre; Easy;Kill Count;Yes;No;Noxious Foe;Kill an Aberrant Spectre.
Abyssal Sire;Abyssal_Sire; Hard;Mechanical;Yes;No;Don't Whip Me;Kill the Abyssal Sire without being hit by any external tentacles.
Abyssal Sire;Abyssal_Sire; Hard;Mechanical;Yes;No;They Grow Up Too Fast;Kill the Abyssal Sire without letting any Scion mature.
Abyssal Sire;Abyssal_Sire; Hard;Perfection;Yes;No;Don't Stop Moving;Kill the Abyssal Sire without taking damage from any miasma pools.
Abyssal Sire;Abyssal_Sire; Hard;Kill Count;Yes;No;Abyssal Adept;Kill the Abyssal Sire 20 times.
Abyssal Sire;Abyssal_Sire; Elite;Mechanical;Yes;No;Demonic Rebound;Use the Vengeance spell to reflect the damage from the Abyssal Sire's explosion back to him.
Abyssal Sire;Abyssal_Sire; Elite;Mechanical;Yes;No;Respiratory Runner;Kill the Abyssal Sire after only stunning him once.
Abyssal Sire;Abyssal_Sire; Elite;Kill Count;Yes;No;Abyssal Veteran;Kill the Abyssal Sire 50 times.
Abyssal Sire;Abyssal_Sire; Elite;Perfection;Yes;No;Perfect Sire;Kill the Abyssal Sire without taking damage from the external tentacles, miasma pools, explosion or damage from the Abyssal Sire without praying the appropriate protection prayer.
Alchemical Hydra;Alchemical_Hydra; Elite;Kill Count;Yes;No;Alchemical Veteran;Kill the Alchemical Hydra 75 times.
Alchemical Hydra;Alchemical_Hydra; Master;Speed;Yes;No;Alchemical Speed-Chaser;Kill the Alchemical Hydra in less than 1 minute 45 seconds.
Alchemical Hydra;Alchemical_Hydra; Master;Mechanical;Yes;No;Lightning Lure;Kill the Alchemical Hydra without being hit by the lightning attack.
Alchemical Hydra;Alchemical_Hydra; Master;Perfection;Yes;No;Alcleanical Hydra;Kill the Alchemical Hydra without taking any damage.
Alchemical Hydra;Alchemical_Hydra; Master;Mechanical;Yes;No;Mixing Correctly;Kill the Alchemical Hydra without empowering it.
Alchemical Hydra;Alchemical_Hydra; Master;Kill Count;Yes;No;Alchemical Master;Kill the Alchemical Hydra 150 times.
Alchemical Hydra;Alchemical_Hydra; Master;Stamina;Yes;No;Working Overtime;Kill the Alchemical Hydra 15 times without leaving the room.
Alchemical Hydra;Alchemical_Hydra; Master;Mechanical;Yes;No;Don't Flame Me;Kill the Alchemical Hydra without being hit by the flame wall attack.
Alchemical Hydra;Alchemical_Hydra; Master;Mechanical;Yes;No;The Flame Skipper;Kill the Alchemical Hydra without letting it spawn a flame wall attack.
Alchemical Hydra;Alchemical_Hydra; Master;Mechanical;Yes;No;Unrequired Antipoisons;Kill the Alchemical Hydra without being hit by the acid pool attack.
Alchemical Hydra;Alchemical_Hydra; Grandmaster;Speed;Yes;No;Alchemical Speed-Runner;Kill the Alchemical Hydra in less than 1 minute 20 seconds.
Alchemical Hydra;Alchemical_Hydra; Grandmaster;Restriction;Yes;No;No Pressure;Kill the Alchemical Hydra using only Dharok's Greataxe as a weapon whilst having no more than 10 Hitpoints throughout the entire fight.
Amoxliatl;Amoxliatl; Medium;Restriction;No;No;Temotli Triumph;Kill Amoxliatl using only glacial temotli as a weapon.
Amoxliatl;Amoxliatl; Medium;Kill Count;No;No;Amoxliatl Champion;Kill Amoxliatl once.
Amoxliatl;Amoxliatl; Hard;Speed;No;No;Amoxliatl Speed-Trialist;Kill Amoxliatl in less than 1 minute.
Amoxliatl;Amoxliatl; Hard;Stamina;No;No;Kemo Makti;Kill Amoxliatl 10 times without leaving her chamber.
Amoxliatl;Amoxliatl; Hard;Mechanical;No;No;Totally Shattered;Kill Amoxliatl without any of her unstable ice shattering.
Amoxliatl;Amoxliatl; Hard;Perfection;No;No;Nagua Negation;Kill Amoxliatl without taking any damage.
Amoxliatl;Amoxliatl; Hard;Kill Count;No;No;Amoxliatl Adept;Kill Amoxliatl 20 times.
Amoxliatl;Amoxliatl; Elite;Restriction;No;No;Without Ralos' Light;Kill Amoxliatl without losing any prayer points.
Amoxliatl;Amoxliatl; Elite;Speed;No;No;Amoxliatl Speed-Chaser;Kill Amoxliatl in less than 30 seconds.
Araxxor;Araxxor; Elite;Kill Count;Yes;No;Araxxor Veteran;Kill Araxxor 25 times.
Araxxor;Araxxor; Elite;Speed;Yes;No;Araxxor Speed-Trialist;Kill Araxxor 4 times in 10:00.
Araxxor;Araxxor; Elite;Restriction;Yes;No;Relaxxor;Kill Araxxor after destroying six eggs.
Araxxor;Araxxor; Master;Speed;Yes;No;Araxxor Speed-Chaser;Kill Araxxor 5 times in 10:00.
Araxxor;Araxxor; Master;Restriction;Yes;No;Let it seep in;Kill Araxxor without ever having venom or poison immunity.
Araxxor;Araxxor; Master;Mechanical;Yes;No;Araxyte Betrayal;Have an Araxyte kill three other Araxytes.
Araxxor;Araxxor; Master;Stamina;Yes;No;Arachnid Lover;Kill Araxxor 10 times without leaving.
Araxxor;Araxxor; Master;Perfection;Yes;No;Perfect Araxxor;Kill Araxxor perfectly, without taking damage from Araxxor's Mage & Range attacks, melee attack off prayer, araxyte minions damage, or damage from acid pools.
Araxxor;Araxxor; Master;Kill Count;Yes;No;Araxxor Master;Kill Araxxor 75 times.
Araxxor;Araxxor; Grandmaster;Perfection;Yes;No;Perfect Araxxor 2;Kill Araxxor perfectly, without hitting it during the enrage phase.
Araxxor;Araxxor; Grandmaster;Speed;Yes;No;Araxxor Speed-Runner;Kill Araxxor 6 times in 10:00.
Araxxor;Araxxor; Grandmaster;Restriction;Yes;No;Swimming in Venom;Kill Araxxor without the boss ever moving.
Barrows;Barrows; Easy;Kill Count;No;No;Barrows Novice;Open the Barrows chest 10 times.
Barrows;Barrows; Easy;Restriction;No;No;Defence? What Defence?;Kill any Barrows Brother using only magical damage.
Barrows;Barrows; Medium;Perfection;No;No;Pray for Success;Kill all six Barrows Brothers and loot the Barrows chest without taking any damage from any of the brothers.
Barrows;Barrows; Medium;Kill Count;No;No;Barrows Champion;Open the Barrows chest 25 times.
Barrows;Barrows; Medium;Mechanical;No;No;Can't Touch Me;Kill Dharok, Verac, Torag and Guthan without letting them attack you with melee.
Barrows;Barrows; Hard;Restriction;No;No;Faithless Crypt Run;Kill all six Barrows Brothers and loot the Barrows chest without ever having more than 0 prayer points.
Barrows;Barrows; Hard;Restriction;No;No;Just Like That;Kill Karil using only damage dealt by special attacks.
Basilisk Knight;Basilisk_Knight; Elite;Kill Count;Yes;No;Reflecting on This Encounter;Kill a Basilisk Knight.
Black Dragon;Black_dragon; Easy;Kill Count;No;No;Big, Black and Fiery;Kill a Black Dragon.
Bloodveld;Bloodveld; Easy;Kill Count;Yes;No;The Demonic Punching Bag;Kill a Bloodveld.
Brutal Black Dragon;Brutal_black_dragon; Medium;Kill Count;Yes;No;Brutal, Big, Black and Firey;Kill a Brutal Black Dragon.
Brutus;Brutus;Easy;Kill Count;No;No;Brutus Novice;Kill Brutus.
Brutus;Brutus;Medium;Kill Count;No;No;Brutus Champion;Kill Brutus 10 times.
Brutus;Brutus;Medium;Perfection;No;No;Beef vs Beef;Kill Brutus whilst neither equipping nor consuming anything.
